graph_id,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,v_1_2,v_2_2,10,0.17863514030145833,3.599978039565395,96.4000219604346
Town01_T-Intersection,v_1_2,v_2_2,15,0.8625377839103834,2.3999853597102634,97.60001464028974
Town01_T-Intersection,v_1_2,v_2_2,20,0.8498945835655785,1.7999890197826975,98.2000109802173
Town01_T-Intersection,v_1_2,v_2_2,25,0.4612497815322052,1.439991215826158,98.56000878417385
Town01_T-Intersection,v_1_2,v_2_2,30,0.7121226806858476,1.1999926798551317,98.80000732014487
Town01_T-Intersection,v_1_2,v_2_2,5,0.42467491899405696,7.19995607913079,92.80004392086921
Town01_T-Intersection,v_1_2,v_2_3,10,0.2537380527691642,13.625324062287058,86.37467593771294
Town01_T-Intersection,v_1_2,v_2_3,15,0.4752990834430333,12.416882708191372,87.58311729180863
Town01_T-Intersection,v_1_2,v_2_3,20,0.7759862228554265,11.812662031143528,88.18733796885647
Town01_T-Intersection,v_1_2,v_2_3,25,0.3521429061150766,11.450129624914823,88.54987037508518
Town01_T-Intersection,v_1_2,v_2_3,30,0.46845946297880714,11.208441354095687,88.79155864590432
Town01_T-Intersection,v_1_2,v_2_3,5,0.8480229848429476,17.250648124574116,82.74935187542589
Town01_T-Intersection,v_1_2,v_2_5,10,0.21481963716368213,33.82500452736126,66.17499547263874
Town01_T-Intersection,v_1_2,v_2_5,15,0.6122733931739369,32.55000301824084,67.44999698175917
Town01_T-Intersection,v_1_2,v_2_5,20,0.1423417459601078,31.91250226368063,68.08749773631936
Town01_T-Intersection,v_1_2,v_2_5,25,0.4155344091804756,31.530001810944505,68.4699981890555
Town01_T-Intersection,v_1_2,v_2_5,30,0.6231029051753647,31.27500150912042,68.72499849087959
Town01_T-Intersection,v_1_2,v_2_5,5,0.619469078972815,37.65000905472252,62.34999094527748
Town01_T-Intersection,v_1_2,v_2_7,10,0.9902332050255871,54.20935171383984,45.79064828616016
Town01_T-Intersection,v_1_2,v_2_7,15,0.9326994577791723,52.80623447589322,47.19376552410678
Town01_T-Intersection,v_1_2,v_2_7,20,0.775964871869965,52.10467585691992,47.89532414308008
Town01_T-Intersection,v_1_2,v_2_7,25,0.584589266771261,51.68374068553593,48.31625931446407
